iter	Logloss
0	0.6878370598
1	0.6822959583
2	0.6768266775
3	0.6725828389
4	0.6671706249
5	0.6630110035
6	0.6586522698
7	0.6543332209
8	0.6504078809
9	0.6470826647
10	0.6427821392
11	0.6388659595
12	0.6346665581
13	0.6312919366
14	0.6282977358
15	0.6258145512
16	0.622742582
17	0.6193802198
18	0.6162324401
19	0.6132490817
20	0.6105258628
21	0.6070643775
22	0.604086767
23	0.6017024987
24	0.5991916189
25	0.5971123106
26	0.5943695538
27	0.5908911554
28	0.5885999538
29	0.5863962038
30	0.5845638526
31	0.5824754829
32	0.5799514042
33	0.5779526938
34	0.5760234303
35	0.5738672808
36	0.5718533276
37	0.5700898311
38	0.5681892775
39	0.5660519293
40	0.5639189084
41	0.5621910457
42	0.5609942515
43	0.5597358638
44	0.5582614607
45	0.5563327507
46	0.554722712
47	0.5534852286
48	0.5519942646
49	0.5504785106
50	0.5488171291
51	0.547669801
52	0.5462124938
53	0.5449658953
54	0.5436423555
55	0.5422964751
56	0.5412560908
57	0.539907348
58	0.5387377955
59	0.5374383367
60	0.536208113
61	0.5353548068
62	0.5342978804
63	0.533322363
64	0.532502584
65	0.5310224157
66	0.5297986583
67	0.5287434339
68	0.5275227769
69	0.5265983898
70	0.5257357965
71	0.5242780595
72	0.5234079846
73	0.5221607823
74	0.5211293812
75	0.5203641068
76	0.5198305799
77	0.5189441532
78	0.5174611547
79	0.5164436711
80	0.515648708
81	0.5150671515
82	0.5143373914
83	0.5135908074
84	0.5127880112
85	0.5119742065
86	0.5110094695
87	0.5103633145
88	0.5095649056
89	0.5091792217
90	0.508091666
91	0.5068918962
92	0.5061663471
93	0.5060340639
94	0.5055646365
95	0.5046493719
96	0.504027223
97	0.5032605958
98	0.5024858158
99	0.5017618697
100	0.5006800204
101	0.5000811008
102	0.4993935143
103	0.4984073599
104	0.4974447669
105	0.4967408373
106	0.4961544611
107	0.4952232493
108	0.4949130524
109	0.4943094508
110	0.4935869125
111	0.4926204049
112	0.491628912
113	0.4907318417
114	0.4903049263
115	0.4898460529
116	0.4892599344
117	0.4888268551
118	0.4882631526
