iter	Passed	Remaining
427	1728	2310
428	1734	2308
429	1736	2302
430	1739	2297
431	1743	2292
432	1746	2286
433	1751	2284
434	1757	2283
435	1761	2278
436	1767	2277
437	1770	2272
438	1773	2266
439	1779	2264
440	1782	2259
441	1793	2264
442	1796	2258
443	1800	2254
444	1803	2248
445	1809	2247
446	1815	2245
447	1818	2240
448	1825	2240
449	1828	2235
450	1831	2229
451	1834	2224
452	1838	2220
453	1843	2217
454	1846	2211
455	1849	2206
456	1856	2205
457	1860	2201
458	1864	2197
459	1867	2192
460	1873	2190
461	1877	2186
462	1881	2182
463	1888	2181
464	1894	2179
465	1898	2175
466	1902	2171
467	1905	2166
468	1908	2161
469	1914	2158
470	1919	2156
471	1923	2151
472	1926	2146
473	1929	2141
474	1934	2137
475	1937	2132
476	1941	2128
477	1944	2123
478	1950	2121
479	1954	2117
480	1958	2112
481	1961	2107
482	1965	2104
483	1970	2100
484	1973	2095
485	1976	2090
486	1982	2088
487	1985	2082
488	2020	2111
489	2026	2109
490	2031	2106
491	2036	2102
492	2042	2100
493	2049	2099
494	2054	2096
495	2060	2093
496	2065	2090
497	2069	2085
498	2072	2081
499	2075	2075
500	2080	2072
501	2084	2067
502	2087	2062
503	2091	2058
504	2096	2055
505	2099	2049
506	2102	2044
507	2105	2039
508	2108	2033
509	2111	2028
510	2114	2023
511	2117	2018
512	2121	2013
513	2124	2009
514	2130	2006
515	2133	2001
516	2137	1996
517	2140	1992
518	2146	1989
519	2149	1984
520	2153	1979
521	2157	1976
522	2161	1971
523	2164	1966
524	2171	1964
525	2176	1961
526	2180	1956
527	2183	1951
528	2186	1946
529	2192	1943
530	2194	1938
531	2197	1933
532	2200	1928
533	2204	1923
534	2207	1919
535	2211	1914
536	2214	1909
537	2217	1904
538	2221	1899
539	2225	1896
540	2229	1891
541	2232	1886
542	2234	1880
543	2240	1877
544	2242	1872
545	2247	1868
546	2250	1863
547	2253	1858
548	2255	1852
549	2258	1848
550	2262	1843
551	2266	1839
552	2271	1835
553	2274	1830
554	2277	1826
555	2280	1821
556	2283	1816
557	2288	1812
558	2291	1807
559	2294	1802
560	2299	1799
561	2302	1794
562	2306	1790
563	2310	1786
564	2315	1782
565	2319	1778
566	2323	1774
567	2326	1769
568	2330	1765
569	2335	1761
570	2338	1757
571	2341	1752
572	2345	1747
573	2347	1742
574	2350	1737
575	2353	1732
576	2356	1727
577	2361	1724
578	2366	1720
579	2369	1715
580	2374	1712
581	2379	1709
582	2382	1703
583	2384	1698
584	2388	1694
585	2391	1689
586	2396	1685
587	2399	1681
588	2404	1677
589	2407	1673
590	2411	1669
591	2417	1665
592	2420	1661
593	2425	1657
594	2429	1653
595	2431	1648
596	2435	1643
597	2438	1639
598	2442	1635
599	2446	1630
600	2449	1626
601	2452	1621
602	2458	1618
603	2461	1613
604	2464	1608
605	2466	1603
606	2469	1598
607	2472	1594
608	2474	1588
609	2478	1584
610	2481	1579
611	2484	1574
612	2487	1570
613	2491	1566
614	2494	1561
615	2497	1557
616	2500	1552
617	2504	1548
618	2507	1543
619	2511	1539
620	2514	1534
621	2518	1530
622	2522	1526
623	2525	1522
624	2528	1517
625	2530	1512
626	2534	1507
627	2536	1502
628	2540	1498
629	2545	1494
630	2548	1490
631	2553	1487
632	2556	1482
633	2559	1477
634	2562	1473
635	2565	1468
636	2569	1464
637	2571	1459
638	2574	1454
639	2577	1450
640	2581	1445
641	2585	1442
642	2589	1437
643	2592	1433
644	2595	1428
645	2600	1425
646	2604	1420
647	2607	1416
648	2610	1411
649	2616	1408
650	2619	1404
651	2622	1399
652	2625	1395
653	2631	1392
654	2634	1387
655	2637	1383
656	2640	1378
657	2644	1374
658	2649	1370
659	2652	1366
660	2655	1361
661	2658	1357
662	2663	1353
663	2667	1349
664	2670	1345
665	2673	1340
666	2678	1337
667	2681	1332
668	2684	1328
669	2687	1323
670	2692	1320
671	2695	1315
672	2698	1311
673	2701	1306
674	2704	1302
675	2707	1297
676	2712	1294
677	2715	1289
678	2718	1285
679	2725	1282
680	2728	1278
681	2731	1273
682	2734	1269
683	2738	1265
684	2742	1261
685	2746	1257
686	2749	1252
687	2752	1248
688	2758	1245
689	2761	1240
690	2764	1236
691	2767	1231
692	2771	1227
693	2775	1223
694	2778	1219
695	2781	1214
696	2784	1210
697	2790	1207
698	2793	1202
699	2796	1198
700	2799	1194
701	2804	1190
702	2807	1186
703	2810	1181
704	2813	1177
705	2818	1173
706	2822	1169
707	2825	1165
708	2828	1161
709	2831	1156
710	2837	1153
711	2840	1148
712	2843	1144
713	2846	1140
714	2850	1136
715	2854	1132
716	2857	1127
717	2860	1123
718	2863	1119
719	2868	1115
720	2871	1111
721	2874	1106
722	2877	1102
723	2881	1098
724	2885	1094
725	2888	1090
726	2891	1085
727	2895	1081
728	2900	1078
729	2904	1074
730	2907	1069
731	2910	1065
732	2914	1061
733	2917	1057
734	2920	1053
735	2923	1048
736	2931	1045
737	2935	1042
738	2938	1037
739	2941	1033
740	2945	1029
741	2950	1025
742	2953	1021
743	2955	1017
744	2959	1012
745	2962	1008
746	2966	1004
747	2968	1000
748	2972	995
749	2975	991
750	2980	988
751	2984	984
752	2987	979
753	2990	975
754	2995	972
755	2998	967
756	3002	963
757	3005	959
758	3010	956
759	3014	951
760	3017	947
761	3020	943
762	3026	939
763	3029	935
764	3032	931
765	3035	927
766	3038	923
767	3044	919
768	3047	915
769	3050	911
770	3053	906
771	3058	903
772	3062	899
773	3065	895
774	3068	890
775	3072	886
776	3076	882
777	3079	878
778	3082	874
779	3087	870
780	3090	866
781	3093	862
782	3096	858
783	3102	854
784	3105	850
785	3108	846
786	3111	842
787	3116	838
788	3120	834
789	3122	830
790	3126	825
791	3129	821
792	3133	817
793	3136	813
794	3139	809
795	3142	805
796	3146	801
797	3150	797
798	3154	793
799	3157	789
800	3160	785
801	3163	781
802	3167	777
803	3170	772
804	3174	768
805	3181	765
806	3185	761
807	3188	757
808	3193	753
809	3198	750
810	3201	746
811	3204	741
812	3207	737
813	3211	733
814	3214	729
815	3217	725
816	3220	721
817	3223	717
818	3227	713
819	3231	709
820	3234	705
821	3238	701
822	3242	697
823	3246	693
824	3249	689
825	3252	685
826	3255	680
827	3261	677
828	3264	673
829	3267	669
830	3270	665
831	3275	661
832	3278	657
833	3282	653
834	3285	649
835	3290	645
836	3294	641
837	3298	637
838	3301	633
839	3304	629
840	3309	625
841	3312	621
842	3315	617
843	3318	613
844	3324	609
845	3327	605
846	3330	601
847	3333	597
848	3337	593
849	3341	589
850	3344	585
851	3348	581
852	3351	577
853	3355	573
854	3358	569
855	3361	565
856	3365	561
857	3372	558
858	3375	554
859	3379	550
860	3382	546
861	3386	542
862	3390	538
863	3394	534
864	3397	530
865	3403	526
866	3406	522
867	3409	518
868	3412	514
869	3415	510
870	3420	506
871	3423	502
872	3427	498
873	3434	495
874	3439	491
875	3445	487
876	3451	484
877	3457	480
878	3460	476
879	3466	472
880	3472	469
881	3478	465
882	3483	461
883	3486	457
884	3493	453
885	3498	450
886	3501	446
887	3504	442
888	3508	438
889	3513	434
890	3516	430
891	3520	426
892	3523	422
893	3527	418
894	3530	414
895	3533	410
896	3536	406
897	3539	402
898	3542	398
899	3546	394
900	3549	390
901	3552	386
902	3555	381
903	3560	378
904	3562	373
905	3565	369
906	3568	365
907	3571	361
908	3575	357
909	3578	353
910	3581	349
911	3584	345
912	3587	341
913	3591	337
914	3595	333
915	3598	329
916	3601	325
917	3604	321
918	3610	318
919	3613	314
920	3616	310
921	3619	306
922	3624	302
923	3627	298
924	3630	294
925	3633	290
926	3636	286
927	3641	282
928	3644	278
929	3647	274
930	3650	270
931	3653	266
932	3659	262
933	3662	258
934	3665	254
935	3668	250
936	3672	246
937	3676	242
938	3679	239
939	3682	235
940	3687	231
941	3692	227
942	3695	223
943	3699	219
944	3705	215
945	3708	211
946	3711	207
947	3714	203
948	3719	199
949	3722	195
950	3725	191
951	3728	188
952	3732	184
953	3736	180
954	3739	176
955	3742	172
956	3745	168
957	3750	164
958	3754	160
959	3757	156
960	3760	152
961	3764	148
962	3770	144
963	3774	140
964	3777	136
965	3783	133
966	3786	129
967	3789	125
968	3792	121
969	3797	117
970	3800	113
971	3804	109
972	3807	105
973	3810	101
974	3814	97
975	3817	93
976	3820	89
977	3824	86
978	3830	82
979	3833	78
980	3836	74
981	3839	70
982	3842	66
983	3847	62
984	3851	58
985	3854	54
986	3857	50
987	3864	46
988	3867	43
989	3870	39
990	3876	35
991	3880	31
992	3883	27
993	3886	23
994	3889	19
995	3893	15
996	3897	11
997	3901	7
998	3904	3
999	3907	0
